       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 600                  487                  113                  117             -955.535
                 600                  488                  112                  259             -924.663
                 600                  489                  111                  399             -974.488
                 600                  490                  110                 1078             -899.599
                 600                  491                  109                 1224             -930.277
                 600                  492                  108                 1957             -939.177
                 600                  493                  107                 3433             -926.618
                 600                  494                  106                 5167             -915.771
                 600                  495                  105                 6804             -941.741
                 600                  496                  104                11950             -919.028
                 600                  497                  103                16026             -927.490
                 600                  498                  102                23452             -910.906
                 600                  499                  101                28106             -913.647
                 600                  500                  100                34417             -913.710
                 600                  501                   99                41758             -920.418
                 600                  502                   98                54164             -922.290
                 600                  503                   97                71054             -921.454
                 600                  504                   96                91380             -922.676
                 600                  505                   95               117949             -923.910
                 600                  506                   94               152802             -920.859
                 600                  507                   93               189141             -918.792
                 600                  508                   92               226212             -922.070
                 600                  509                   91               277880             -921.301
                 600                  510                   90               334680             -920.394
                 600                  511                   89               394540             -920.266
                 600                  512                   88               459263             -919.578
                 600                  513                   87               524450             -920.664
                 600                  514                   86               599495             -921.216
                 600                  515                   85               681693             -919.344
                 600                  516                   84               749898             -919.606
                 600                  517                   83               817673             -919.172
                 600                  518                   82               876592             -922.020
                 600                  519                   81               959221             -921.060
                 600                  520                   80              1025498             -920.414
                 600                  521                   79              1074832             -921.187
                 600                  522                   78              1122354             -922.072
                 600                  523                   77              1168938             -919.793
                 600                  524                   76              1170871             -920.661
                 600                  525                   75              1169151             -921.484
                 600                  526                   74              1162978             -920.343
                 600                  527                   73              1126591             -920.660
                 600                  528                   72              1080513             -920.816
                 600                  529                   71              1023955             -919.702
                 600                  530                   70               944747             -922.967
                 600                  531                   69               892142             -920.924
                 600                  532                   68               811218             -920.546
                 600                  533                   67               723800             -924.163
                 600                  534                   66               663226             -921.798
                 600                  535                   65               582650             -922.019
                 600                  536                   64               505388             -921.818
                 600                  537                   63               430634             -923.602
                 600                  538                   62               368660             -921.912
                 600                  539                   61               304640             -920.955
                 600                  540                   60               244978             -923.906
                 600                  541                   59               200433             -922.383
                 600                  542                   58               158465             -922.527
                 600                  543                   57               123365             -922.882
                 600                  544                   56                94768             -928.272
                 600                  545                   55                76078             -923.815
                 600                  546                   54                56998             -928.142
                 600                  547                   53                44057             -915.132
                 600                  548                   52                28796             -925.101
                 600                  549                   51                20700             -925.596
                 600                  550                   50                14677             -916.918
                 600                  551                   49                 9237             -945.898
                 600                  552                   48                 7940             -910.536
                 600                  553                   47                 4459             -948.277
                 600                  554                   46                 3778             -924.903
                 600                  555                   45                 2397             -931.308
                 600                  556                   44                 1601             -993.180
                 600                  557                   43                 2124             -876.190
                 600                  558                   42                  721             -962.569
                 600                  559                   41                  643             -949.508
                 600                  560                   40                  482             -892.753
                 600                  561                   39                  184             -801.214
