       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 590                  477                  113                    2            -1168.966
                 590                  478                  112                   51             -946.657
                 590                  479                  111                  101            -1014.864
                 590                  480                  110                  433             -947.257
                 590                  481                  109                  848             -928.007
                 590                  482                  108                 1320             -957.037
                 590                  483                  107                 2839             -932.419
                 590                  484                  106                 4563             -938.293
                 590                  485                  105                 7771             -909.671
                 590                  486                  104                 9445             -933.226
                 590                  487                  103                14892             -914.304
                 590                  488                  102                18723             -912.751
                 590                  489                  101                22900             -921.774
                 590                  490                  100                30754             -917.634
                 590                  491                   99                38999             -927.271
                 590                  492                   98                54674             -917.842
                 590                  493                   97                68107             -919.049
                 590                  494                   96                85144             -924.405
                 590                  495                   95               112011             -921.065
                 590                  496                   94               140347             -921.854
                 590                  497                   93               175580             -921.875
                 590                  498                   92               217372             -922.900
                 590                  499                   91               269362             -922.569
                 590                  500                   90               328909             -918.559
                 590                  501                   89               379374             -920.718
                 590                  502                   88               443556             -922.379
                 590                  503                   87               522617             -921.229
                 590                  504                   86               600811             -920.116
                 590                  505                   85               674115             -919.761
                 590                  506                   84               744532             -921.008
                 590                  507                   83               824326             -919.568
                 590                  508                   82               887046             -920.416
                 590                  509                   81               952243             -920.672
                 590                  510                   80              1012739             -920.367
                 590                  511                   79              1060071             -922.790
                 590                  512                   78              1126580             -921.178
                 590                  513                   77              1160479             -920.223
                 590                  514                   76              1167238             -922.067
                 590                  515                   75              1183525             -920.894
                 590                  516                   74              1168434             -921.300
                 590                  517                   73              1143466             -919.672
                 590                  518                   72              1083510             -918.751
                 590                  519                   71              1002007             -922.376
                 590                  520                   70               952510             -920.998
                 590                  521                   69               878720             -920.265
                 590                  522                   68               792384             -921.402
                 590                  523                   67               713410             -922.462
                 590                  524                   66               640592             -918.830
                 590                  525                   65               543534             -921.904
                 590                  526                   64               470472             -924.220
                 590                  527                   63               411745             -921.801
                 590                  528                   62               345022             -919.472
                 590                  529                   61               277034             -920.197
                 590                  530                   60               220680             -920.248
                 590                  531                   59               173009             -922.617
                 590                  532                   58               137043             -928.387
                 590                  533                   57               114006             -921.340
                 590                  534                   56                85978             -921.776
                 590                  535                   55                64022             -917.911
                 590                  536                   54                44794             -917.874
                 590                  537                   53                30758             -921.245
                 590                  538                   52                21545             -921.033
                 590                  539                   51                14771             -927.714
                 590                  540                   50                10722             -908.630
                 590                  541                   49                 6132             -904.073
                 590                  542                   48                 3262             -882.258
                 590                  543                   47                 1324             -920.346
                 590                  544                   46                  814             -921.795
                 590                  545                   45                  498             -933.291
                 590                  546                   44                  340             -948.446
                 590                  547                   43                  270             -882.103
