       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 271                  174                   97                   17            -1171.619
                 271                  175                   96                   60            -1189.425
                 271                  176                   95                  257            -1106.012
                 271                  177                   94                  419            -1156.774
                 271                  178                   93                 1209            -1113.566
                 271                  179                   92                 2104            -1116.524
                 271                  180                   91                 3747            -1120.537
                 271                  181                   90                 6911            -1093.670
                 271                  182                   89                 9267            -1118.837
                 271                  183                   88                16394            -1098.284
                 271                  184                   87                22661            -1118.208
                 271                  185                   86                38907            -1103.184
                 271                  186                   85                55592            -1097.832
                 271                  187                   84                73840            -1103.141
                 271                  188                   83               103001            -1101.966
                 271                  189                   82               140070            -1100.606
                 271                  190                   81               185277            -1097.099
                 271                  191                   80               232552            -1097.221
                 271                  192                   79               288691            -1096.197
                 271                  193                   78               349776            -1095.408
                 271                  194                   77               414657            -1095.906
                 271                  195                   76               488046            -1093.779
                 271                  196                   75               553316            -1091.491
                 271                  197                   74               603045            -1090.605
                 271                  198                   73               641933            -1088.917
                 271                  199                   72               661190            -1086.557
                 271                  200                   71               653776            -1086.498
                 271                  201                   70               637037            -1086.187
                 271                  202                   69               609812            -1085.500
                 271                  203                   68               570895            -1082.067
                 271                  204                   67               506410            -1083.059
                 271                  205                   66               447661            -1081.314
                 271                  206                   65               382107            -1079.171
                 271                  207                   64               313420            -1079.086
                 271                  208                   63               252880            -1079.023
                 271                  209                   62               200701            -1076.598
                 271                  210                   61               152464            -1075.635
                 271                  211                   60               112703            -1076.871
                 271                  212                   59                83114            -1069.521
                 271                  213                   58                55405            -1078.483
                 271                  214                   57                40233            -1073.731
                 271                  215                   56                27191            -1060.104
                 271                  216                   55                15445            -1071.936
                 271                  217                   54                 9867            -1046.677
                 271                  218                   53                 4634            -1076.125
                 271                  219                   52                 2993            -1044.350
                 271                  220                   51                 1318            -1024.025
                 271                  221                   50                  451            -1022.688
                 271                  222                   49                  149             -965.301
