       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 296                  195                  101                   35            -1094.629
                 296                  196                  100                   70            -1151.859
                 296                  197                   99                  267            -1108.420
                 296                  198                   98                  613            -1040.785
                 296                  199                   97                  642            -1032.029
                 296                  200                   96                  602            -1100.998
                 296                  201                   95                 1231            -1045.888
                 296                  202                   94                 1325            -1068.243
                 296                  203                   93                 1823            -1081.062
                 296                  204                   92                 2874            -1073.600
                 296                  205                   91                 4115            -1087.925
                 296                  206                   90                 6867            -1086.398
                 296                  207                   89                11137            -1077.366
                 296                  208                   88                16106            -1082.388
                 296                  209                   87                24394            -1084.244
                 296                  210                   86                37312            -1081.193
                 296                  211                   85                54477            -1077.293
                 296                  212                   84                75179            -1080.168
                 296                  213                   83               105960            -1073.655
                 296                  214                   82               136957            -1074.112
                 296                  215                   81               175807            -1074.136
                 296                  216                   80               222989            -1074.682
                 296                  217                   79               281091            -1072.293
                 296                  218                   78               340461            -1069.324
                 296                  219                   77               393537            -1070.586
                 296                  220                   76               455592            -1069.673
                 296                  221                   75               515168            -1068.107
                 296                  222                   74               564649            -1068.559
                 296                  223                   73               613797            -1066.638
                 296                  224                   72               643881            -1066.502
                 296                  225                   71               665153            -1065.906
                 296                  226                   70               672975            -1064.997
                 296                  227                   69               664341            -1064.266
                 296                  228                   68               641057            -1063.882
                 296                  229                   67               606950            -1063.181
                 296                  230                   66               561679            -1063.400
                 296                  231                   65               513312            -1061.203
                 296                  232                   64               450523            -1060.156
                 296                  233                   63               384689            -1060.789
                 296                  234                   62               325697            -1061.186
                 296                  235                   61               272609            -1059.884
                 296                  236                   60               221171            -1056.844
                 296                  237                   59               170457            -1059.445
                 296                  238                   58               133089            -1053.359
                 296                  239                   57                95273            -1058.663
                 296                  240                   56                71225            -1057.751
                 296                  241                   55                51769            -1053.698
                 296                  242                   54                35279            -1052.531
                 296                  243                   53                23291            -1050.761
                 296                  244                   52                14789            -1055.083
                 296                  245                   51                 9681            -1050.167
                 296                  246                   50                 5875            -1046.249
                 296                  247                   49                 3342            -1022.847
                 296                  248                   48                 1425            -1065.123
                 296                  249                   47                  966            -1017.592
                 296                  250                   46                  372            -1085.727
                 296                  251                   45                  306            -1038.283
                 296                  252                   44                  143             -897.322
                 296                  253                   43                   13            -1218.985
