       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 421                  317                  104                    4            -1258.656
                 421                  318                  103                  161             -934.720
                 421                  319                  102                  157             -950.186
                 421                  320                  101                  181            -1008.938
                 421                  321                  100                  405             -944.928
                 421                  322                   99                  431             -981.329
                 421                  323                   98                  689             -918.520
                 421                  324                   97                  531             -987.046
                 421                  325                   96                  888             -998.252
                 421                  326                   95                 1671            -1008.594
                 421                  327                   94                 3503             -972.615
                 421                  328                   93                 4812             -982.060
                 421                  329                   92                 7287             -986.713
                 421                  330                   91                11514             -974.383
                 421                  331                   90                15625             -989.014
                 421                  332                   89                24797             -979.561
                 421                  333                   88                34922             -990.485
                 421                  334                   87                55111             -988.048
                 421                  335                   86                83616             -983.956
                 421                  336                   85               119664             -979.288
                 421                  337                   84               160448             -977.340
                 421                  338                   83               207909             -978.064
                 421                  339                   82               268421             -979.457
                 421                  340                   81               347877             -978.834
                 421                  341                   80               442184             -975.157
                 421                  342                   79               532227             -974.268
                 421                  343                   78               626189             -974.498
                 421                  344                   77               729329             -972.025
                 421                  345                   76               815142             -972.125
                 421                  346                   75               900255             -971.216
                 421                  347                   74               971010             -970.165
                 421                  348                   73              1020996             -969.699
                 421                  349                   72              1053409             -967.745
                 421                  350                   71              1048240             -968.369
                 421                  351                   70              1035981             -967.145
                 421                  352                   69               995393             -966.836
                 421                  353                   68               939406             -965.359
                 421                  354                   67               859053             -964.871
                 421                  355                   66               769707             -963.521
                 421                  356                   65               668937             -962.953
                 421                  357                   64               568840             -964.704
                 421                  358                   63               485927             -962.905
                 421                  359                   62               400278             -965.242
                 421                  360                   61               333297             -961.636
                 421                  361                   60               261999             -958.731
                 421                  362                   59               195947             -960.352
                 421                  363                   58               146806             -959.950
                 421                  364                   57               107627             -957.939
                 421                  365                   56                75778             -958.134
                 421                  366                   55                52535             -960.096
                 421                  367                   54                36584             -955.257
                 421                  368                   53                23664             -958.489
                 421                  369                   52                15590             -956.756
                 421                  370                   51                 9879             -934.719
                 421                  371                   50                 4770             -970.142
                 421                  372                   49                 3388             -968.488
                 421                  373                   48                 2314             -948.614
                 421                  374                   47                 1233             -944.685
                 421                  375                   46                  615             -949.707
                 421                  376                   45                  318             -936.959
