       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 546                  437                  109                    9            -1120.759
                 546                  438                  108                  127             -932.710
                 546                  439                  107                  206             -901.295
                 546                  440                  106                  231             -957.764
                 546                  441                  105                  490             -975.671
                 546                  442                  104                 1264             -917.149
                 546                  443                  103                 1652             -964.186
                 546                  444                  102                 3665             -928.038
                 546                  445                  101                 5322             -911.214
                 546                  446                  100                 6311             -943.545
                 546                  447                   99                10731             -929.717
                 546                  448                   98                15418             -915.115
                 546                  449                   97                18551             -943.399
                 546                  450                   96                30546             -926.187
                 546                  451                   95                40871             -929.803
                 546                  452                   94                56405             -921.834
                 546                  453                   93                70304             -928.172
                 546                  454                   92                93224             -925.840
                 546                  455                   91               119064             -928.796
                 546                  456                   90               155594             -922.666
                 546                  457                   89               187461             -921.269
                 546                  458                   88               219800             -927.528
                 546                  459                   87               273763             -928.674
                 546                  460                   86               341552             -925.950
                 546                  461                   85               408288             -925.270
                 546                  462                   84               478645             -925.137
                 546                  463                   83               553684             -926.475
                 546                  464                   82               642631             -924.975
                 546                  465                   81               724334             -927.493
                 546                  466                   80               830068             -924.652
                 546                  467                   79               909408             -924.694
                 546                  468                   78               984347             -924.257
                 546                  469                   77              1046720             -923.631
                 546                  470                   76              1090928             -924.184
                 546                  471                   75              1129375             -923.992
                 546                  472                   74              1151253             -924.618
                 546                  473                   73              1166235             -923.468
                 546                  474                   72              1150196             -924.408
                 546                  475                   71              1130951             -923.385
                 546                  476                   70              1083812             -922.635
                 546                  477                   69              1015251             -923.503
                 546                  478                   68               946811             -922.186
                 546                  479                   67               857160             -923.678
                 546                  480                   66               777760             -922.453
                 546                  481                   65               685497             -924.372
                 546                  482                   64               608251             -922.965
                 546                  483                   63               522908             -922.523
                 546                  484                   62               440281             -923.932
                 546                  485                   61               370763             -922.790
                 546                  486                   60               303192             -921.070
                 546                  487                   59               239113             -925.209
                 546                  488                   58               194439             -924.981
                 546                  489                   57               155025             -920.520
                 546                  490                   56               115419             -920.769
                 546                  491                   55                84665             -924.998
                 546                  492                   54                64024             -916.421
                 546                  493                   53                43087             -915.763
                 546                  494                   52                28246             -896.198
                 546                  495                   51                14520             -908.102
                 546                  496                   50                 8390             -923.659
                 546                  497                   49                 5680             -919.083
                 546                  498                   48                 3576             -908.383
                 546                  499                   47                 1951             -853.211
                 546                  500                   46                  554             -987.752
                 546                  501                   45                  719             -928.300
                 546                  502                   44                  462             -931.470
                 546                  503                   43                  301             -895.548
                 546                  504                   42                  127             -914.462
                 546                  505                   41                   65            -1040.764
                 546                  506                   40                  138             -885.001
                 546                  507                   39                   48             -959.010
                 546                  508                   38                   38            -1081.329
