       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 610                  497                  113                   66             -924.949
                 610                  498                  112                  103            -1042.296
                 610                  499                  111                  611             -931.703
                 610                  500                  110                 1012             -889.982
                 610                  501                  109                 1030             -937.341
                 610                  502                  108                 1787             -919.843
                 610                  503                  107                 2514             -910.240
                 610                  504                  106                 3139             -949.563
                 610                  505                  105                 6092             -919.924
                 610                  506                  104                 8340             -932.966
                 610                  507                  103                13131             -913.898
                 610                  508                  102                16458             -908.724
                 610                  509                  101                19252             -923.254
                 610                  510                  100                26338             -924.398
                 610                  511                   99                36146             -925.463
                 610                  512                   98                49713             -914.517
                 610                  513                   97                59706             -920.093
                 610                  514                   96                75657             -921.771
                 610                  515                   95                96722             -929.531
                 610                  516                   94               133740             -919.560
                 610                  517                   93               163228             -923.667
                 610                  518                   92               206593             -921.064
                 610                  519                   91               251070             -917.364
                 610                  520                   90               289281             -920.922
                 610                  521                   89               343356             -920.855
                 610                  522                   88               402704             -919.483
                 610                  523                   87               459719             -922.803
                 610                  524                   86               538954             -921.868
                 610                  525                   85               617928             -921.454
                 610                  526                   84               696924             -922.016
                 610                  527                   83               781789             -922.345
                 610                  528                   82               869821             -921.641
                 610                  529                   81               948426             -920.823
                 610                  530                   80              1011995             -921.021
                 610                  531                   79              1068918             -921.303
                 610                  532                   78              1118530             -920.017
                 610                  533                   77              1138733             -921.074
                 610                  534                   76              1158382             -920.927
                 610                  535                   75              1161105             -921.478
                 610                  536                   74              1155794             -921.426
                 610                  537                   73              1134489             -921.858
                 610                  538                   72              1103979             -922.307
                 610                  539                   71              1065036             -921.118
                 610                  540                   70               999497             -922.672
                 610                  541                   69               941392             -921.992
                 610                  542                   68               867217             -922.996
                 610                  543                   67               796409             -923.107
                 610                  544                   66               721544             -924.317
                 610                  545                   65               652946             -924.368
                 610                  546                   64               582257             -923.340
                 610                  547                   63               505248             -924.323
                 610                  548                   62               436465             -926.936
                 610                  549                   61               382332             -926.175
                 610                  550                   60               326654             -923.137
                 610                  551                   59               265119             -923.374
                 610                  552                   58               212164             -928.457
                 610                  553                   57               176917             -932.695
                 610                  554                   56               152194             -927.172
                 610                  555                   55               120743             -927.010
                 610                  556                   54                93906             -932.344
                 610                  557                   53                76224             -928.860
                 610                  558                   52                58350             -927.241
                 610                  559                   51                43019             -925.723
                 610                  560                   50                30570             -928.932
                 610                  561                   49                22095             -927.717
                 610                  562                   48                15434             -934.544
                 610                  563                   47                11420             -931.277
                 610                  564                   46                 7970             -937.333
                 610                  565                   45                 5835             -939.417
                 610                  566                   44                 4280             -917.019
                 610                  567                   43                 2375             -922.091
                 610                  568                   42                 1365             -972.176
                 610                  569                   41                 1360             -910.149
                 610                  570                   40                  650             -865.626
                 610                  571                   39                  182            -1067.714
                 610                  572                   38                  503             -703.963
