       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 446                  345                  101                   34            -1113.874
                 446                  346                  100                  304             -968.150
                 446                  347                   99                  507            -1018.369
                 446                  348                   98                 1488             -935.804
                 446                  349                   97                 1679             -968.305
                 446                  350                   96                 2721             -952.464
                 446                  351                   95                 3640             -959.498
                 446                  352                   94                 5223             -976.404
                 446                  353                   93                 9000             -966.316
                 446                  354                   92                13669             -965.864
                 446                  355                   91                20431             -967.530
                 446                  356                   90                30788             -962.004
                 446                  357                   89                43071             -969.329
                 446                  358                   88                64800             -969.097
                 446                  359                   87                96140             -959.837
                 446                  360                   86               126824             -960.924
                 446                  361                   85               167450             -961.753
                 446                  362                   84               220604             -960.315
                 446                  363                   83               282520             -957.764
                 446                  364                   82               347214             -958.692
                 446                  365                   81               426085             -956.672
                 446                  366                   80               504681             -955.938
                 446                  367                   79               585453             -956.240
                 446                  368                   78               672985             -955.998
                 446                  369                   77               761701             -955.578
                 446                  370                   76               846974             -954.895
                 446                  371                   75               922312             -955.031
                 446                  372                   74               992685             -953.655
                 446                  373                   73              1037698             -952.615
                 446                  374                   72              1057423             -951.250
                 446                  375                   71              1046267             -951.042
                 446                  376                   70              1018421             -951.709
                 446                  377                   69               984847             -949.571
                 446                  378                   68               916072             -952.789
                 446                  379                   67               871275             -950.994
                 446                  380                   66               799868             -947.971
                 446                  381                   65               698737             -949.485
                 446                  382                   64               611656             -948.781
                 446                  383                   63               522958             -947.197
                 446                  384                   62               432223             -950.214
                 446                  385                   61               363923             -948.988
                 446                  386                   60               297268             -947.360
                 446                  387                   59               234428             -948.565
                 446                  388                   58               184318             -947.501
                 446                  389                   57               140736             -951.100
                 446                  390                   56               110052             -943.258
                 446                  391                   55                77284             -945.701
                 446                  392                   54                54816             -944.115
                 446                  393                   53                37486             -947.940
                 446                  394                   52                26287             -947.145
                 446                  395                   51                17922             -947.153
                 446                  396                   50                11985             -956.992
                 446                  397                   49                 8795             -942.344
                 446                  398                   48                 5348             -948.975
                 446                  399                   47                 3437             -930.833
                 446                  400                   46                 1757             -961.216
                 446                  401                   45                 1245             -924.697
                 446                  402                   44                  568             -925.596
                 446                  403                   43                  256             -790.526
                 446                  404                   42                   24             -842.810
