       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 396                  298                   98                   78             -895.793
                 396                  299                   97                   36            -1150.443
                 396                  300                   96                  304            -1056.281
                 396                  301                   95                  864            -1024.059
                 396                  302                   94                 1680            -1001.911
                 396                  303                   93                 2508            -1007.386
                 396                  304                   92                 3944            -1038.314
                 396                  305                   91                 8744            -1012.839
                 396                  306                   90                14322            -1000.765
                 396                  307                   89                20204            -1004.672
                 396                  308                   88                29475            -1006.756
                 396                  309                   87                43544            -1009.428
                 396                  310                   86                65574            -1005.151
                 396                  311                   85                92948            -1006.386
                 396                  312                   84               132072            -1004.810
                 396                  313                   83               182138            -1002.387
                 396                  314                   82               241399            -1002.855
                 396                  315                   81               317786            -1000.398
                 396                  316                   80               401773             -996.770
                 396                  317                   79               481269             -997.877
                 396                  318                   78               576547             -995.104
                 396                  319                   77               660626             -997.448
                 396                  320                   76               767595             -994.766
                 396                  321                   75               853668             -993.235
                 396                  322                   74               920614             -993.758
                 396                  323                   73               985466             -991.465
                 396                  324                   72              1013649             -990.450
                 396                  325                   71              1016466             -989.689
                 396                  326                   70               996412             -988.464
                 396                  327                   69               949577             -990.107
                 396                  328                   68               908971             -985.775
                 396                  329                   67               815974             -988.427
                 396                  330                   66               743982             -986.362
                 396                  331                   65               652593             -985.347
                 396                  332                   64               557241             -981.622
                 396                  333                   63               448931             -980.805
                 396                  334                   62               352707             -983.422
                 396                  335                   61               281008             -980.192
                 396                  336                   60               212271             -979.469
                 396                  337                   59               156419             -979.477
                 396                  338                   58               113352             -980.004
                 396                  339                   57                81239             -975.605
                 396                  340                   56                54408             -969.984
                 396                  341                   55                33567             -964.578
                 396                  342                   54                19118             -969.680
                 396                  343                   53                11334             -953.258
                 396                  344                   52                 5464             -918.720
                 396                  345                   51                 1740             -914.870
                 396                  346                   50                  520             -852.998
                 396                  347                   49                   75            -1019.020
                 396                  348                   48                   71            -1069.210
                 396                  349                   47                  117            -1062.090
                 396                  350                   46                  174             -820.981
