Ntotal	 Gauge_cell_size(A) 
400 1012.4 
480 861.1 
560 814.1 
640 799.3 
720 790.8 
800 782.6 
880 774.8 
960 767.3 
1040 760.0 
1120 753.0 
1200 745.4 
1280 722.3 
1360 701.9 
1440 674.3 
1520 641.7 
1600 590.0 
1680 524.4 
1760 452.3 
1840 364.8 
1920 276.5 
