       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 100                   96                    4                    1            -2933.793
                 100                   97                    3                   14            -2535.438
                 100                   98                    2                   19            -2673.868
                 100                   99                    1                   35            -2666.251
