#Npore	fugacity[kPa]	chempot[K]
        176.24	        3.0696	       -1124.5
        176.99	        3.1216	         -1123
        177.77	        3.1746	       -1121.5
        178.58	        3.2284	       -1120.1
         179.4	        3.2831	       -1118.6
        180.25	        3.3388	       -1117.1
        181.11	        3.3954	       -1115.7
           182	         3.453	       -1114.2
        182.91	        3.5115	       -1112.7
        183.83	        3.5711	       -1111.3
        184.78	        3.6316	       -1109.8
        185.74	        3.6932	       -1108.3
        186.72	        3.7558	       -1106.9
        187.72	        3.8195	       -1105.4
        188.73	        3.8843	       -1103.9
        189.76	        3.9501	       -1102.5
        190.81	        4.0171	         -1101
        191.88	        4.0852	       -1099.5
        192.98	        4.1545	       -1098.1
         194.1	        4.2249	       -1096.6
        195.26	        4.2966	       -1095.1
        196.44	        4.3694	       -1093.7
        197.66	        4.4435	       -1092.2
        198.92	        4.5189	       -1090.7
        200.23	        4.5955	       -1089.3
        201.37	        4.6615	         -1088
        202.16	         4.707	       -1087.2
        202.97	         4.753	       -1086.3
         203.8	        4.7994	       -1085.5
        204.64	        4.8463	       -1084.6
         205.5	        4.8937	       -1083.8
        206.37	        4.9415	       -1082.9
        207.25	        4.9898	       -1082.1
        208.16	        5.0386	       -1081.2
        209.07	        5.0878	       -1080.4
           210	        5.1375	       -1079.5
        210.95	        5.1877	       -1078.7
         211.9	        5.2384	       -1077.8
        212.88	        5.2896	         -1077
        213.86	        5.3413	       -1076.1
        214.86	        5.3935	       -1075.3
        215.86	        5.4462	       -1074.4
        216.89	        5.4994	       -1073.6
        217.92	        5.5531	       -1072.7
        218.97	        5.6074	       -1071.9
        220.03	        5.6622	         -1071
         221.1	        5.7175	       -1070.2
        222.18	        5.7734	       -1069.3
        223.28	        5.8298	       -1068.5
         224.4	        5.8867	       -1067.6
        225.52	        5.9443	       -1066.8
        226.64	        6.0012	         -1066
        227.52	        6.0462	       -1065.3
        228.42	        6.0915	       -1064.7
        229.32	        6.1372	         -1064
        230.23	        6.1832	       -1063.3
        231.14	        6.2295	       -1062.7
        232.07	        6.2763	         -1062
           233	        6.3233	       -1061.4
        233.93	        6.3707	       -1060.7
        234.88	        6.4185	       -1060.1
        235.83	        6.4666	       -1059.4
        236.78	        6.5151	       -1058.8
        237.74	        6.5639	       -1058.1
        238.71	        6.6132	       -1057.5
        239.68	        6.6627	       -1056.8
        240.66	        6.7127	       -1056.2
        241.64	         6.763	       -1055.5
        242.62	        6.8137	       -1054.9
        243.61	        6.8648	       -1054.2
         244.6	        6.9163	       -1053.6
        245.59	        6.9681	       -1052.9
        246.59	        7.0204	       -1052.3
        247.58	         7.073	       -1051.6
        248.58	        7.1261	         -1051
        249.58	        7.1795	       -1050.3
        250.58	        7.2333	       -1049.7
        251.58	        7.2875	         -1049
        252.57	        7.3411	       -1048.4
        253.55	        7.3951	       -1047.7
        254.54	        7.4495	       -1047.1
        255.52	        7.5043	       -1046.4
         256.5	        7.5595	       -1045.8
        257.48	        7.6151	       -1045.2
        258.47	        7.6711	       -1044.5
        259.44	        7.7276	       -1043.9
        260.42	        7.7844	       -1043.2
         261.4	        7.8417	       -1042.6
        262.37	        7.8994	         -1042
        263.34	        7.9575	       -1041.3
        264.31	         8.016	       -1040.7
        265.27	         8.075	         -1040
        266.23	        8.1344	       -1039.4
        267.18	        8.1943	       -1038.8
        268.13	        8.2546	       -1038.1
        269.07	        8.3153	       -1037.5
        270.01	        8.3765	       -1036.8
        270.95	        8.4381	       -1036.2
        271.87	        8.5002	       -1035.6
         272.8	        8.5627	       -1034.9
        273.71	        8.6257	       -1034.3
        274.62	        8.6891	       -1033.6
        275.64	        8.7615	       -1032.9
        276.74	        8.8408	       -1032.1
        277.83	        8.9209	       -1031.3
        278.92	        9.0017	       -1030.6
        279.99	        9.0832	       -1029.8
        281.05	        9.1655	         -1029
        282.11	        9.2485	       -1028.2
        283.15	        9.3323	       -1027.4
        284.19	        9.4168	       -1026.6
        285.22	        9.5021	       -1025.8
        286.24	        9.5881	       -1025.1
        287.25	         9.675	       -1024.3
        288.26	        9.7626	       -1023.5
        289.25	         9.851	       -1022.7
        290.24	        9.9403	       -1021.9
        291.23	         10.03	       -1021.1
         292.2	        10.121	       -1020.3
        293.17	        10.213	       -1019.5
        294.13	        10.305	       -1018.8
        295.08	        10.399	         -1018
        296.03	        10.493	       -1017.2
        296.96	        10.588	       -1016.4
        297.89	        10.684	       -1015.6
        298.82	        10.781	       -1014.8
        299.73	        10.878	         -1014
         300.7	        10.983	       -1013.2
        301.81	        11.105	       -1012.2
         302.9	        11.229	       -1011.3
        303.99	        11.355	       -1010.3
        305.07	        11.481	       -1009.3
        306.14	        11.609	       -1008.4
        307.21	        11.739	       -1007.4
        308.26	         11.87	       -1006.4
        309.31	        12.003	       -1005.4
        310.36	        12.137	       -1004.5
         311.4	        12.272	       -1003.5
        312.44	        12.409	       -1002.5
        313.47	        12.547	       -1001.6
         314.5	        12.688	       -1000.6
        315.54	        12.829	       -999.63
        316.57	        12.972	       -998.66
         317.6	        13.117	       -997.69
        318.63	        13.264	       -996.72
        319.67	        13.412	       -995.75
        320.71	        13.561	       -994.79
        321.75	        13.713	       -993.82
         322.8	        13.866	       -992.85
        323.85	        14.021	       -991.88
        324.88	        14.173	       -990.93
        325.84	        14.317	       -990.05
         326.8	        14.461	       -989.18
        327.77	        14.607	        -988.3
        328.74	        14.754	       -987.42
        329.71	        14.903	       -986.55
        330.69	        15.054	       -985.67
        331.68	        15.206	        -984.8
        332.67	        15.359	       -983.92
        333.66	        15.514	       -983.04
        334.67	         15.67	       -982.17
        335.67	        15.829	       -981.29
        336.69	        15.988	       -980.41
        337.71	         16.15	       -979.54
        338.74	        16.313	       -978.66
        339.78	        16.477	       -977.78
        340.83	        16.644	       -976.91
        341.89	        16.812	       -976.03
        342.96	        16.981	       -975.15
        344.04	        17.153	       -974.28
        345.13	        17.326	        -973.4
        346.24	          17.5	       -972.52
        347.36	        17.677	       -971.65
         348.5	        17.855	       -970.77
        349.65	        18.036	       -969.89
        350.77	        18.209	       -969.06
        351.65	        18.346	       -968.41
        352.54	        18.483	       -967.75
        353.44	        18.622	        -967.1
        354.36	        18.762	       -966.45
        355.28	        18.902	        -965.8
        356.21	        19.044	       -965.14
        357.15	        19.187	       -964.49
        358.11	        19.331	       -963.84
        359.08	        19.476	       -963.19
        360.06	        19.622	       -962.53
        361.05	        19.769	       -961.88
        362.05	        19.917	       -961.23
        363.07	        20.067	       -960.58
         364.1	        20.217	       -959.93
        365.15	        20.369	       -959.27
        366.21	        20.522	       -958.62
        367.29	        20.675	       -957.97
        368.38	        20.831	       -957.32
        369.49	        20.987	       -956.66
        370.62	        21.144	       -956.01
        371.76	        21.303	       -955.36
        372.93	        21.462	       -954.71
        374.12	        21.623	       -954.06
        375.32	        21.786	        -953.4
        376.42	        21.932	       -952.82
        377.28	        22.045	       -952.37
        378.15	        22.159	       -951.92
        379.04	        22.274	       -951.47
        379.93	        22.389	       -951.02
        380.84	        22.505	       -950.57
        381.76	        22.621	       -950.12
         382.7	        22.738	       -949.67
        383.64	        22.856	       -949.22
         384.6	        22.974	       -948.77
        385.58	        23.093	       -948.32
        386.57	        23.212	       -947.87
        387.57	        23.332	       -947.42
        388.59	        23.453	       -946.96
        389.62	        23.574	       -946.51
