#fugacity[kPa]	canonical_work_function
         7.4495	       -860.674
         7.5043	       -862.543
        7.55951	       -864.419
        7.61512	       -866.303
        7.67115	       -868.194
        7.72758	       -870.092
        7.78443	       -871.998
         7.8417	       -873.911
        7.89939	       -875.832
        7.95751	        -877.76
        8.01605	       -879.695
        8.07502	       -881.637
        8.13443	       -883.587
        8.19427	       -885.544
        8.25456	       -887.508
        8.31528	        -889.48
        8.37646	       -891.459
        8.43808	       -893.446
        8.50016	       -895.439
        8.56269	        -897.44
        8.62569	       -899.449
        8.68915	       -901.465
        8.76147	       -903.752
        8.84083	        -906.25
         8.9209	       -908.757
         9.0017	       -911.272
        9.08323	       -913.797
        9.16549	        -916.33
        9.24851	       -918.873
        9.33227	       -921.424
        9.41679	       -923.985
        9.50208	       -926.555
        9.58815	       -929.133
        9.67499	       -931.721
        9.76261	       -934.318
        9.85103	       -936.924
        9.94026	       -939.538
        10.0303	       -942.162
        10.1211	       -944.795
        10.2128	       -947.437
        10.3053	       -950.087
        10.3986	       -952.747
        10.4928	       -955.416
        10.5878	       -958.094
        10.6837	       -960.781
        10.7805	       -963.477
        10.8781	       -966.182
        10.9827	        -969.06
        11.1053	       -972.413
        11.2292	       -975.776
        11.3546	        -979.15
        11.4813	       -982.536
        11.6095	       -985.933
         11.739	        -989.34
        11.8701	       -992.759
        12.0026	       -996.189
        12.1365	        -999.63
         12.272	       -1003.08
         12.409	       -1006.55
        12.5475	       -1010.02
        12.6876	       -1013.51
        12.8292	          -1017
        12.9724	       -1020.51
        13.1172	       -1024.03
        13.2636	       -1027.56
        13.4116	        -1031.1
        13.5613	       -1034.65
        13.7127	       -1038.21
        13.8658	       -1041.79
        14.0205	       -1045.37
        14.1735	       -1048.89
        14.3165	       -1052.15
         14.461	       -1055.43
        14.6069	       -1058.71
        14.7543	          -1062
        14.9032	       -1065.31
        15.0536	       -1068.62
        15.2055	       -1071.94
        15.3589	       -1075.28
        15.5139	       -1078.62
        15.6705	       -1081.97
        15.8286	       -1085.34
        15.9884	       -1088.71
        16.1497	       -1092.09
        16.3127	       -1095.49
        16.4773	       -1098.89
        16.6436	       -1102.31
        16.8115	       -1105.73
        16.9812	       -1109.16
        17.1525	       -1112.61
        17.3256	       -1116.06
        17.5005	       -1119.53
        17.6771	          -1123
        17.8555	       -1126.48
        18.0356	       -1129.98
        18.2092	       -1133.32
        18.3458	       -1135.94
        18.4834	       -1138.56
         18.622	       -1141.19
        18.7617	       -1143.83
        18.9024	       -1146.47
        19.0441	       -1149.12
        19.1869	       -1151.78
        19.3308	       -1154.45
        19.4758	       -1157.13
        19.6219	       -1159.81
         19.769	        -1162.5
        19.9173	       -1165.19
        20.0667	        -1167.9
        20.2172	       -1170.61
        20.3688	       -1173.33
        20.5215	       -1176.06
        20.6754	       -1178.79
        20.8305	       -1181.54
        20.9867	       -1184.29
        21.1441	       -1187.04
        21.3027	       -1189.81
        21.4625	       -1192.58
        21.6234	       -1195.36
        21.7856	       -1198.15
        21.9315	       -1200.64
         22.045	       -1202.58
         22.159	       -1204.52
        22.2736	       -1206.46
        22.3888	       -1208.41
        22.5046	       -1210.37
         22.621	       -1212.33
         22.738	       -1214.29
        22.8556	       -1216.26
        22.9739	       -1218.24
        23.0927	       -1220.22
        23.2121	       -1222.21
        23.3322	        -1224.2
        23.4529	        -1226.2
        23.5742	        -1228.2
        23.6961	        -1230.2
        23.8187	       -1232.22
        23.9419	       -1234.23
        24.0657	       -1236.26
        24.1902	       -1238.28
        24.3153	       -1240.32
        24.4411	       -1242.35
        24.5675	        -1244.4
        24.6946	       -1246.44
        24.8223	        -1248.5
        24.9446	       -1250.46
        25.0313	       -1251.85
        25.1184	       -1253.24
        25.2057	       -1254.63
        25.2934	       -1256.03
        25.3813	       -1257.44
        25.4696	       -1258.84
        25.5582	       -1260.25
         25.647	       -1261.66
        25.7362	       -1263.08
        25.8257	        -1264.5
        25.9155	       -1265.92
        26.0056	       -1267.35
        26.0961	       -1268.78
        26.1868	       -1270.21
        26.2779	       -1271.65
        26.3692	       -1273.09
        26.4609	       -1274.54
        26.5529	       -1275.98
        26.6453	       -1277.43
        26.7379	       -1278.89
        26.8309	       -1280.35
        26.9242	       -1281.81
        27.0178	       -1283.27
        27.1118	       -1284.74
         27.191	       -1285.98
        27.2549	       -1286.98
         27.319	       -1287.98
        27.3832	       -1288.98
        27.4476	       -1289.98
        27.5121	       -1290.99
        27.5768	          -1292
        27.6416	       -1293.01
