       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                  71                    0                   71               384239            -2041.560
                  71                    1                   70               368391            -1982.501
                  71                    2                   69               177033            -1945.857
                  71                    3                   68                55113            -1920.745
                  71                    4                   67                12682            -1896.777
                  71                    5                   66                 2185            -1883.632
                  71                    6                   65                  319            -1830.652
                  71                    7                   64                   25            -1997.211
