       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 121                   37                   84                   17            -1840.861
                 121                   38                   83                  508            -1630.844
                 121                   39                   82                 1353            -1648.076
                 121                   40                   81                 4337            -1582.050
                 121                   41                   80                 6446            -1625.213
                 121                   42                   79                15514            -1597.005
                 121                   43                   78                26691            -1596.688
                 121                   44                   77                45175            -1606.439
                 121                   45                   76                84399            -1583.865
                 121                   46                   75               120170            -1579.174
                 121                   47                   74               160017            -1578.234
                 121                   48                   73               207986            -1566.448
                 121                   49                   72               233001            -1566.895
                 121                   50                   71               258771            -1563.997
                 121                   51                   70               274147            -1552.799
                 121                   52                   69               251873            -1553.809
                 121                   53                   68               230758            -1548.342
                 121                   54                   67               195701            -1537.897
                 121                   55                   66               145089            -1536.093
                 121                   56                   65               103794            -1529.703
                 121                   57                   64                67966            -1531.180
                 121                   58                   63                44568            -1526.177
                 121                   59                   62                27166            -1510.119
                 121                   60                   61                13558            -1507.369
                 121                   61                   60                 6451            -1501.351
                 121                   62                   59                 2818            -1525.160
                 121                   63                   58                 1590            -1451.199
                 121                   64                   57                  378            -1425.772
                 121                   65                   56                   66            -1414.936
