       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 221                  135                   86                   50            -1282.604
                 221                  136                   85                  181            -1272.072
                 221                  137                   84                  574            -1290.276
                 221                  138                   83                 2216            -1261.075
                 221                  139                   82                 6050            -1228.193
                 221                  140                   81                11197            -1240.958
                 221                  141                   80                23693            -1225.844
                 221                  142                   79                41644            -1220.617
                 221                  143                   78                68080            -1220.599
                 221                  144                   77               109867            -1216.338
                 221                  145                   76               166692            -1217.998
                 221                  146                   75               254415            -1205.506
                 221                  147                   74               332102            -1203.919
                 221                  148                   73               420026            -1201.351
                 221                  149                   72               508862            -1200.712
                 221                  150                   71               603601            -1196.326
                 221                  151                   70               671445            -1193.620
                 221                  152                   69               713917            -1189.221
                 221                  153                   68               711461            -1184.655
                 221                  154                   67               663131            -1181.378
                 221                  155                   66               586562            -1176.375
                 221                  156                   65               482621            -1175.455
                 221                  157                   64               386982            -1171.791
                 221                  158                   63               292964            -1165.736
                 221                  159                   62               203695            -1165.064
                 221                  160                   61               138309            -1164.130
                 221                  161                   60                91414            -1157.943
                 221                  162                   59                55363            -1151.472
                 221                  163                   58                30615            -1148.962
                 221                  164                   57                16171            -1137.232
                 221                  165                   56                 7339            -1160.014
                 221                  166                   55                 4248            -1138.894
                 221                  167                   54                 1896            -1144.996
                 221                  168                   53                  891            -1141.759
                 221                  169                   52                  396            -1108.519
