       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                  96                   15                   81                   11            -2042.325
                  96                   16                   80                  672            -1762.235
                  96                   17                   79                 1639            -1746.832
                  96                   18                   78                 3309            -1757.143
                  96                   19                   77                 7423            -1749.382
                  96                   20                   76                15040            -1734.767
                  96                   21                   75                25441            -1738.746
                  96                   22                   74                44449            -1732.006
                  96                   23                   73                70930            -1723.816
                  96                   24                   72               101659            -1719.921
                  96                   25                   71               137435            -1709.712
                  96                   26                   70               163000            -1699.472
                  96                   27                   69               169501            -1693.292
                  96                   28                   68               161870            -1685.820
                  96                   29                   67               139846            -1674.072
                  96                   30                   66               104053            -1674.867
                  96                   31                   65                76963            -1665.867
                  96                   32                   64                50572            -1661.697
                  96                   33                   63                31193            -1648.445
                  96                   34                   62                16272            -1648.990
                  96                   35                   61                 8406            -1650.159
                  96                   36                   60                 4330            -1633.945
                  96                   37                   59                 1822            -1617.437
                  96                   38                   58                  624            -1721.630
                  96                   39                   57                  693            -1635.189
                  96                   40                   56                  281            -1606.945
                  96                   41                   55                   81            -1525.293
