       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 146                   61                   85                   86            -1421.377
                 146                   62                   84                   94            -1519.099
                 146                   63                   83                  311            -1488.732
                 146                   64                   82                  718            -1473.407
                 146                   65                   81                 1374            -1472.587
                 146                   66                   80                 2573            -1497.439
                 146                   67                   79                 6326            -1499.862
                 146                   68                   78                15791            -1468.570
                 146                   69                   77                27195            -1470.240
                 146                   70                   76                47127            -1462.619
                 146                   71                   75                73869            -1456.864
                 146                   72                   74               106973            -1456.759
                 146                   73                   73               152663            -1449.575
                 146                   74                   72               197946            -1454.322
                 146                   75                   71               267290            -1447.388
                 146                   76                   70               328740            -1440.512
                 146                   77                   69               368430            -1438.132
                 146                   78                   68               396067            -1434.528
                 146                   79                   67               402638            -1424.401
                 146                   80                   66               359125            -1422.995
                 146                   81                   65               310494            -1423.663
                 146                   82                   64               266409            -1412.757
                 146                   83                   63               198636            -1407.943
                 146                   84                   62               137969            -1407.111
                 146                   85                   61                93415            -1412.797
                 146                   86                   60                66416            -1396.468
                 146                   87                   59                38523            -1399.644
                 146                   88                   58                22786            -1386.136
                 146                   89                   57                11350            -1375.699
                 146                   90                   56                 4930            -1365.600
                 146                   91                   55                 1874            -1266.174
                 146                   92                   54                  224            -1434.125
                 146                   93                   53                  180            -1171.381
