       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 246                  155                   91                    5            -1415.431
                 246                  156                   90                  179            -1197.810
                 246                  157                   89                  524            -1175.958
                 246                  158                   88                 1181            -1202.794
                 246                  159                   87                 3579            -1163.749
                 246                  160                   86                 6856            -1154.249
                 246                  161                   85                11644            -1156.751
                 246                  162                   84                20114            -1166.030
                 246                  163                   83                38187            -1162.467
                 246                  164                   82                68771            -1150.735
                 246                  165                   81               106972            -1144.396
                 246                  166                   80               152851            -1143.961
                 246                  167                   79               214639            -1138.646
                 246                  168                   78               280056            -1137.610
                 246                  169                   77               356530            -1136.150
                 246                  170                   76               440638            -1133.305
                 246                  171                   75               520276            -1131.787
                 246                  172                   74               595775            -1128.374
                 246                  173                   73               647329            -1126.821
                 246                  174                   72               681606            -1123.473
                 246                  175                   71               681230            -1122.600
                 246                  176                   70               664718            -1119.455
                 246                  177                   69               616842            -1118.152
                 246                  178                   68               555882            -1115.070
                 246                  179                   67               476558            -1114.406
                 246                  180                   66               399497            -1113.641
                 246                  181                   65               327020            -1110.328
                 246                  182                   64               253817            -1107.759
                 246                  183                   63               188345            -1108.183
                 246                  184                   62               138249            -1107.695
                 246                  185                   61                99309            -1106.210
                 246                  186                   60                69003            -1107.042
                 246                  187                   59                47611            -1103.032
                 246                  188                   58                30853            -1098.536
                 246                  189                   57                18668            -1100.583
                 246                  190                   56                11364            -1093.560
                 246                  191                   55                 6271            -1071.041
                 246                  192                   54                 2626            -1080.558
                 246                  193                   53                 1204            -1106.347
                 246                  194                   52                  728            -1104.533
                 246                  195                   51                  423            -1086.914
                 246                  196                   50                  197             -885.948
