       MaxNparticles                Npore               Ngauge    Ngauge_frequencey              Chempot 
                 521                  408                  113                   16             -942.945
                 521                  409                  112                   30             -952.218
                 521                  410                  111                   62             -806.772
                 521                  411                  110                   24            -1019.264
                 521                  412                  109                  105             -765.931
                 521                  413                  108                   25            -1046.676
                 521                  414                  107                  147             -877.270
                 521                  415                  106                  123             -897.809
                 521                  416                  105                  129            -1006.604
                 521                  417                  104                  466             -943.145
                 521                  418                  103                  806             -953.582
                 521                  419                  102                 1556             -921.969
                 521                  420                  101                 2071             -913.779
                 521                  421                  100                 2485             -947.577
                 521                  422                   99                 4348             -915.872
                 521                  423                   98                 5238             -931.955
                 521                  424                   97                 7510             -928.012
                 521                  425                   96                10187             -944.089
                 521                  426                   95                16441             -925.627
                 521                  427                   94                21253             -923.484
                 521                  428                   93                26525             -935.131
                 521                  429                   92                37427             -933.935
                 521                  430                   91                51531             -935.579
                 521                  431                   90                71513             -931.635
                 521                  432                   89                93818             -930.156
                 521                  433                   88               119667             -930.350
                 521                  434                   87               151258             -931.940
                 521                  435                   86               192492             -929.595
                 521                  436                   85               235733             -930.703
                 521                  437                   84               288973             -930.374
                 521                  438                   83               348756             -930.254
                 521                  439                   82               415321             -929.740
                 521                  440                   81               485768             -930.102
                 521                  441                   80               563567             -927.526
                 521                  442                   79               626977             -930.653
                 521                  443                   78               713920             -930.183
                 521                  444                   77               798318             -929.920
                 521                  445                   76               878604             -929.316
                 521                  446                   75               947818             -928.755
                 521                  447                   74              1002571             -930.146
                 521                  448                   73              1063147             -929.848
                 521                  449                   72              1108360             -929.663
                 521                  450                   71              1137264             -927.857
                 521                  451                   70              1127145             -928.308
                 521                  452                   69              1107089             -928.044
                 521                  453                   68              1068619             -927.134
                 521                  454                   67              1005996             -928.595
                 521                  455                   66               948860             -929.274
                 521                  456                   65               888499             -928.628
                 521                  457                   64               813330             -928.615
                 521                  458                   63               732961             -927.784
                 521                  459                   62               644052             -926.164
                 521                  460                   61               546703             -927.097
                 521                  461                   60               461490             -926.849
                 521                  462                   59               382086             -930.137
                 521                  463                   58               323010             -927.328
                 521                  464                   57               259941             -927.088
                 521                  465                   56               205015             -926.101
                 521                  466                   55               157073             -925.087
                 521                  467                   54               116828             -925.836
                 521                  468                   53                86049             -925.156
                 521                  469                   52                61723             -929.573
                 521                  470                   51                45693             -925.082
                 521                  471                   50                31512             -930.615
                 521                  472                   49                22700             -920.046
                 521                  473                   48                14198             -917.696
                 521                  474                   47                 8468             -928.441
                 521                  475                   46                 5593             -911.095
                 521                  476                   45                 2964             -923.241
                 521                  477                   44                 1766             -956.564
                 521                  478                   43                 1507             -843.707
                 521                  479                   42                  345             -850.094
                 521                  480                   41                   83             -898.661
